Name,Platform,Publisher,Developer,Total_Shipped,Year,,,,,,Critic_Score,User_Score
Halo 5: Guardians,XOne,Microsoft Studios,343 Industries,5,2015,,,,,,8.6,6.4
Halo: Combat Evolved,XB,Microsoft,Bungie Studios,5,2001,,,,,,9.5,
Guitar Hero III: Legends of Rock,PS2,RedOctane,BudCat Creations,4.98,2007,,,,,,8.2,
Uncharted: Drake's Fortune,PS3,Sony Computer Entertainment,Naughty Dog,4.97,2007,,,,,,8.7,8.6
Resident Evil 2,PS,Capcom,Capcom,4.96,1998,,,,,,9.3,
Fallout 3,X360,Bethesda Softworks,Bethesda Game Studios,4.96,2008,,,,,,9,8.6
Splatoon,WiiU,Nintendo,Nintendo EAD,4.95,2015,,,,,,8.4,8.7
Madden NFL 06,PS2,EA Sports,EA Tiburon,4.91,2005,,,,,,9.1,
Stardew Valley,PC,Chucklefish,ConcernedApe,4.91,2016,,,,,,9.2,8.7
Dragon Quest VIII: Journey of the Cursed King,PS2,Square Enix,Level 5 / Armor Project,4.9,2005,,,,,,8.6,
Monster Hunter Freedom 3,PSP,Capcom,Capcom,4.9,2010,,,,,,,
Diddy Kong Racing,N64,Nintendo,Rare Ltd.,4.88,1997,,,,,,8.3,
Pokemon Mystery Dungeon: Explorers of Time / Darkness,DS,Nintendo,ChunSoft,4.88,2008,,,,,,6.4,
Call of Duty: Black Ops IIII,XOne,Activision,Treyarch,4.85,2018,,,,,,,
Dr. Mario,NES,Nintendo,Nintendo R&D1,4.85,1990,,,,,,,
